tmrca,first_sample_date,last_sample_date,num_samples,samples,first_sister_tip,first_sister_date,known_duration,undetected_duration
2022-01-03,2022-01-20,2022-01-20,1,HongKong/HKU-220213-388/2022|2022-01-20,Panama/M127547-GMI/2021|2021-12-29,2021.991781,0,16.51124281
2021-12-04,2022-01-20,2022-01-20,1,HongKong/HKU-220213-389/2022|2022-01-20,HongKong/HK-HKPU-12665/2022|2022-01-01,2022,0,46.61750823
2021-12-31,2022-01-20,2022-01-20,1,HongKong/HKU-220213-390/2022|2022-01-20,Slovenia/17-012675-CE/2022|2022-01-13,2022.032877,0,20.01356387
2021-12-13,2022-01-20,2022-01-20,1,HongKong/HKU-220213-392/2022|2022-01-20,Venezuela/Ara625/2022|2022-01-06,2022.013699,0,37.3711373
2022-01-10,2022-01-23,2022-01-23,1,HongKong/HKU-220213-404/2022|2022-01-23,Norway/9243/2022|2022-02-15,2022.123288,0,12.83119377
2021-12-25,2022-01-29,2022-01-29,1,HongKong/HKU-220213-421/2022|2022-01-29,Qatar/QA-QU-20-13-G12/2021|2021-12-21,2021.969863,0,34.52189791
2021-12-28,2022-01-29,2022-01-29,1,HongKong/HKU-220213-422/2022|2022-01-29,HongKong/HKU-220213-421/2022|2022-01-29,2022.076712,0,32.12690416
2021-12-04,2022-01-09,2022-01-09,1,HongKong/HKU-220326-133/2022|2022-01-09,Philippines/PH-PGC-101528/2021|2021-11-22,2021.890411,0,36.15784478
2021-12-27,2022-01-01,2022-01-01,1,HongKong/VM22000047/2022|2022-01-01,Chile/TA-33691/2022|2022-03-02,2022.164384,0,4.914302877
2021-12-13,2022-01-03,2022-01-03,1,HongKong/VM22000338/2022|2022-01-03,Jamaica/JAM-UWIMicro-0039/2021|2021-12-23,2021.975342,0,20.69971487
2021-12-30,2022-01-03,2022-01-03,1,HongKong/VM22000340/2022|2022-01-03,Montenegro/CO-00688_MNE000_1082392202/2022|2022-01-10,2022.024658,0,3.869793775
2021-12-07,2022-01-03,2022-01-03,1,HongKong/VM22000364/2022|2022-01-03,HongKong/HK-HKPU-12752/2022|2022-01-04,2022.008219,0,26.42532373
2021-12-18,2022-01-05,2022-01-05,1,HongKong/VM22000770/2022|2022-01-05,Mexico/CHH_InDRE_FB2199_E08113577401_S11007/2022|2022-01-06,2022.013699,0,17.35246685
2021-12-06,2022-01-16,2022-01-16,1,HongKong/VM22002517/2022|2022-01-16,Taiwan/TSGH-49/2021|2021-12-21,2021.969863,0,40.66460833
2022-01-01,2022-01-16,2022-01-16,1,HongKong/VM22002521/2022|2022-01-16,Poland/PL_P765/2022|2022-02-02,2022.087671,0,14.52558335
2022-01-07,2022-01-29,2022-01-29,1,HongKong/VM22005395/2022|2022-01-29,Indonesia/JK-NIHRD-WGS_22_01279/2022|2022-01-17,2022.043836,0,22.18745585
2022-01-14,2022-02-01,2022-02-01,1,HongKong/VM22006051/2022|2022-02-01,Slovenia/87207/2022|2022-01-19,2022.049315,0,17.61615959
2021-12-22,2022-01-07,2022-01-07,1,HongKong/VOC-236-P2-S19-iseq/2022|2022-01-07,Colombia/BOL-UNIMOL-VG-547/2022|2022-01-05,2022.010959,0,15.42056746
2021-12-16,2022-01-02,2022-01-02,1,HongKong/WHP5169-S4-iseq/2022|2022-01-02,Guinea/LFHVG-G0607/2022|2022-01-03,2022.005479,0,16.6676446
2021-12-25,2022-01-03,2022-01-03,1,HongKong/WHP5172-S7-iseq/2022|2022-01-03,Canada/BC-BCCDC-382172/2022|2022-03-01,2022.161644,0,8.651230593
2021-12-10,2022-01-12,2022-01-12,1,HongKong/WHP5187-S2-iseq/2022|2022-01-12,Argentina/INEI116386/2021|2021-12-23,2021.975342,0,32.43196579
2021-12-22,2022-01-07,2022-01-07,1,HongKong/WHP5188-S3-iseq/2022|2022-01-07,Hungary/mbl_00096/2022|2022-01-03,2022.005479,0,15.3501523
2021-12-18,2022-01-08,2022-01-08,1,HongKong/WHP5189-S4-iseq/2022|2022-01-08,Belize/CML-383/2022|2022-01-09,2022.021918,0,21.07371402
2021-12-16,2022-01-07,2022-01-07,1,HongKong/WHP5199-S13-iseq/2022|2022-01-07,Suriname/SR-881/2021|2021-12-27,2021.986301,0,21.38581401
2021-12-22,2022-01-08,2022-01-08,1,HongKong/WHP5200-S14-iseq/2022|2022-01-08,Kosovo/CO-00634-XXK000_9167/2021|2021-12-20,2021.967123,0,16.40785492
