tmrca,first_sample_date,last_sample_date,num_samples,samples,first_sister_tip,first_sister_date,known_duration,undetected_duration
2021-12-08,2022-01-01,2022-01-14,6,HongKong/HK-HKPU-12690/2022|2022-01-02;HongKong/HK-HKPU-PU22TM214206/2022|2022-01-14;HongKong/HK-HKPU-12719/2022|2022-01-03;HongKong/HK-HKPU-12718/2022|2022-01-03;HongKong/VM22000058/2022|2022-01-01;HongKong/HK-HKPU-12691/2022|2022-01-02,HongKong/HK-HKPU-12672/2022|2022-01-01,2022,12.9999999999768,23.2907247063156
2021-12-21,2022-01-01,2022-01-07,2,HongKong/HK-HKPU-12659/2022|2022-01-01;HongKong/HK-HKPU-12846/2022|2022-01-07,HongKong/HK-HKPU-12672/2022|2022-01-01,2022,5.99999999999568,10.7790418327011
2022-01-18,2022-01-27,2022-02-09,20,HongKong/HKU-220213-413/2022|2022-01-27;HongKong/HK-HKPU-PU22TM236711/2022|2022-02-07;HongKong/HKU-220213-425/2022|2022-02-01;HongKong/HK-HKPU-PU22TM236702/2022|2022-02-07;HongKong/CH22015264/2022|2022-01-31;HongKong/HK-HKPU-PU22TM236734/2022|2022-02-07;HongKong/HK-HKPU-PU22TM235042/2022|2022-02-04;HongKong/VM22005660/2022|2022-01-31;HongKong/HK-HKPU-PU22TM236732/2022|2022-02-07;HongKong/CH22015623/2022|2022-02-01;HongKong/HK-HKPU-PU22TM236679/2022|2022-02-07;HongKong/HK-HKPU-13711/2022|2022-01-27;HongKong/VM22005971/2022|2022-02-01;HongKong/HK-HKPU-PU22TM236879/2022|2022-02-07;HongKong/HK-HKPU-13712/2022|2022-01-27;HongKong/HKU-220326-073/2022|2022-01-30;HongKong/HK-HKPU-PU22TM236703/2022|2022-02-07;HongKong/HK-HKPU-PU22TM237780/2022|2022-02-09;HongKong/HK-HKPU-PU22TM235692/2022|2022-02-07;HongKong/HK-HKPU-PU22TM236676/2022|2022-02-07,HongKong/HK-HKPU-13729/2022|2022-01-27,2022.07123287671,12.9999999999768,8.95449653544119
2022-01-01,2022-01-10,2022-01-20,6,HongKong/HK-HKPU-12964/2022|2022-01-10;HongKong/HK-HKPU-13015/2022|2022-01-13;HongKong/HK-HKPU-13046/2022|2022-01-16;HongKong/HKU-220213-379/2022|2022-01-20;HongKong/HKU-220213-346/2022|2022-01-11;HongKong/HK-HKPU-12968/2022|2022-01-11,Nepal/DH_040/2022|2022-01-10,2022.02465753425,9.99999999993747,8.88466742689388
2022-01-23,2022-01-27,2022-02-07,2,HongKong/HK-HKPU-13731/2022|2022-01-27;HongKong/HK-HKPU-PU22TM236681/2022|2022-02-07,Singapore/9859/2021|2021-12-31,2021.99726027397,10.9999999999229,3.35694785022952
2022-01-02,2022-01-08,2022-01-14,4,HongKong/HK-HKPU-12980/2022|2022-01-11;HongKong/HK-HKPU-12899/2022|2022-01-08;HongKong/HKU-220213-347/2022|2022-01-11;HongKong/HK-HKPU-PU22TM213531/2022|2022-01-14,HongKong/HK-HKPU-12896/2022|2022-01-08,2022.01917808219,5.99999999999568,5.89372506823793
2022-03-24,2022-04-04,2022-04-04,2,HongKong/HK-HKPU-PUB090599855/2022|2022-04-04;HongKong/CM22000672/2022|2022-04-04,Georgia/Tb-sNGS4659/2022|2022-02-22,2022.14246575342,0,10.6757037764885
2022-03-31,2022-04-04,2022-04-04,2,HongKong/CM22000671/2022|2022-04-04;HongKong/HK-HKPU-PUB086799721/2022|2022-04-04,Belgium/ULG-25284/2022|2022-03-04,2022.1698630137,0,3.95570235960122
2022-04-05,2022-04-09,2022-04-09,2,HongKong/CM22000722/2022|2022-04-09;HongKong/HK-HKPU-PUB082650316/2022|2022-04-09,Bulgaria/22BG-EU_016643_Pl156/2022|2022-01-25,2022.06575342466,0,4.05783063660579
2022-01-27,2022-02-01,2022-02-01,3,HongKong/VM22006131/2022|2022-02-01;HongKong/VM22006129/2022|2022-02-01;HongKong/VM22006130/2022|2022-02-01,Bulgaria/22BG-EU_016643_Pl156/2022|2022-01-25,2022.06575342466,0,4.46851356492971
