date	k	generation_time	prevalence	prevalence_Upper	prevalence_Lower
2022-02-06	0.1	3	2012.7834869827598	3006.5691055567054	1358.2090830876475
2022-02-07	0.1	3	1971.7680730659924	2863.009745896118	1371.5673984793204
2022-02-08	0.1	3	1924.142885097006	2709.8529859184396	1380.3279365131114
2022-02-09	0.1	3	1879.8225841541296	2561.494926099307	1391.3873632258428
2022-02-10	0.1	3	1837.8076972064446	2416.1677965899426	1404.2082807776812
2022-02-11	0.1	3	2388.3628124661545	3385.228958635116	1714.2552740713934
2022-02-12	0.1	3	2941.3830111064126	4357.558647021009	2026.1732723838252
2022-02-13	0.1	3	3508.6090056490484	5351.570527432067	2347.5897274260337
2022-02-14	0.1	3	4068.092732503472	6334.439954504855	2663.5252252873047
2022-02-15	0.1	3	4644.422957441335	7344.157883215704	2990.212543202684
2022-02-16	0.1	3	5201.255791386464	8323.456473861512	3304.1612368157907
2022-02-17	0.1	3	5825.003888858611	9410.820240688452	3660.1756923754033
2022-02-18	0.1	3	6853.56295894779	11536.78269994179	4062.3127201252637
2022-02-19	0.1	3	7866.356360017376	13639.975027999068	4453.122839598603
2022-02-20	0.1	3	8859.22779237886	15709.6334214653	4832.123957864095
2022-02-21	0.1	3	9852.086990092143	17779.270600497766	5211.118150128675
2022-02-22	0.1	3	10844.946187805426	19848.907779530236	5590.112342393255
2022-02-23	0.1	3	11784.861526032193	21820.515608810543	5942.410071306817
2022-02-24	0.1	3	12835.013028649362	23996.31198153355	6350.25216415592
2022-02-25	0.1	3	25491.33470013764	62852.730169679475	10093.250571576902
2022-02-26	0.1	3	38396.097925052294	102562.17773010313	13894.75641274436
2022-02-27	0.1	3	50979.60953782195	141480.97952127084	17568.823092341863
2022-02-28	0.1	3	63559.62869848879	180390.45771327696	21241.625046169687
2022-03-01	0.1	3	76142.08333700361	219306.95332450187	24915.223493930724
2022-03-02	0.1	3	90697.93932143321	263966.9780486097	29224.666193626937
2022-03-03	0.1	3	94077.77660079286	266823.44813568	31127.803732309814
2022-03-04	0.1	3	95763.08394000331	264733.3414552887	32486.659001227552
2022-03-05	0.1	3	97403.1319828416	262507.1599935743	33831.43842945633
2022-03-06	0.1	3	98938.25231382782	259997.90138502794	35139.80679108631
2022-03-07	0.1	3	100523.74697265265	257624.40381917963	36465.67196430717
2022-03-08	0.1	3	102121.80490024958	255282.31099925702	37796.186995909964
2022-03-09	0.1	3	105877.48359101654	258200.41044889175	39940.81372682346
2022-03-10	0.1	3	104912.80066855911	256839.47004493975	39862.34452268411
2022-03-11	0.1	3	104420.13795080235	256646.44616950766	39966.778570069204
